idade preco
16.370560 21.456786
12.470592 29.142242
18.776122 14.414001
12.440570 19.404489
13.509484 26.430150
18.685547 20.115750
16.679134 18.835362
9.051217 14.688123
14.633660 20.287048
9.750328 7.967332
19.264769 15.753694
16.695731 28.605508
15.209309 19.249165
10.991593 9.800832
13.908554 16.329299
22.712589 23.512066
8.528040 16.501483
13.244407 27.177333
20.738824 12.515620
21.326791 12.456530
17.151561 15.739169
18.010467 14.297515
12.581082 16.945490
15.351290 18.495727
14.552903 15.299588
14.296393 20.648453
19.969955 19.582130
22.135059 20.524094
20.028928 27.470514
21.353171 22.022426
17.495480 17.937957
13.224726 17.074188
17.573646 21.773698
19.962110 14.597395
10.700720 16.082377
13.924778 14.864836
12.451216 20.740763
15.440150 23.608658
15.565135 16.648843
13.271522 21.587650
17.912154 20.118139
14.587306 12.208025
19.292697 4.908130
13.039017 17.538880
10.411615 18.960733
14.426624 16.728337
11.515047 16.194053
21.613184 12.158697
16.822107 20.046213
15.764883 21.126655
18.739464 19.503183
10.224445 19.635660
18.363704 10.267758
12.527560 28.647017
13.660683 10.259041
17.506414 20.705157
20.976544 13.337727
18.219679 25.407386
15.923358 26.074997
12.744460 13.065100
20.707212 20.726436
13.989544 19.323878
21.472811 19.044934
20.626792 25.215560
13.186140 17.170515
15.202969 22.097413
9.702232 22.139493
11.374990 8.403737
18.678761 24.958128
8.756968 24.724537
15.223827 25.413528
17.713221 17.717491
19.513758 15.818684
18.214625 19.188258
22.338200 25.524018
10.927572 22.503983
13.538119 16.272959
14.030081 25.605101
14.222235 23.380967
10.279176 18.282096
19.884649 26.905963
16.692701 24.905094
25.621677 19.923929
18.481348 16.920483
15.229196 33.167211
16.831081 19.201549
13.940503 21.993816
21.310102 20.486443
16.174021 14.601421
19.532476 19.488148
13.133482 22.669924
12.645589 14.391748
11.173353 22.064092
19.349543 23.778874
11.161673 9.747997
18.122538 28.666747
14.972139 17.447219
16.715953 20.593878
15.764375 36.469950
15.307302 24.243934
12.028609 16.637000
20.254990 16.245875
17.171518 22.690084
16.472710 22.575722
12.430467 22.092067
13.099906 25.962284
15.481745 19.927355
13.902424 22.615371
10.217139 23.221140
18.185801 23.462298
11.986249 22.281360
12.078086 19.624985
20.550977 17.087985
20.044659 23.916338
12.534032 22.689741
18.897632 19.143046
15.767863 28.489817
13.516080 15.636458
18.990372 16.868289
19.554823 17.979421
18.729599 16.032651
15.685941 19.087516
12.801817 21.411069
14.876269 16.319831
15.541115 24.233734
14.566095 18.380020
22.097573 15.984749
23.544561 23.865474
13.061873 20.226461
16.199022 14.858321
15.681281 19.464058
22.031946 13.083421
15.003932 16.384890
12.777541 26.576432
16.397232 21.537831
14.365893 21.356813
16.193250 23.671000
9.122099 23.578507
18.784399 14.718392
16.642284 27.971374
17.819973 9.756758
14.233034 23.532740
17.767507 31.226801
19.874807 20.949725
11.185498 23.698203
16.767800 22.029284
20.851996 13.027580
16.888742 17.113695
9.055695 20.710720
15.765038 27.699343
14.050234 17.113247
15.720904 6.348008
15.847915 14.824850
18.737874 21.465429
24.143251 22.351407
22.246247 36.984395
11.909853 18.088215
13.232648 20.833339
13.313126 21.843844
21.065718 24.925607
17.343268 18.706739
18.129677 20.420483
19.157851 25.040388
16.371150 17.125487
16.008552 24.516616
22.273664 24.406197
8.417640 23.381921
18.842470 30.806407
13.974518 14.893198
15.725794 12.641158
18.810222 21.280452
13.228888 22.484604
15.938465 15.852728
24.076176 13.659258
15.137495 29.162211
14.507817 24.944792
11.623268 17.532736
11.985439 22.481625
10.265804 26.115018
13.412753 20.310512
10.882970 19.236193
26.043260 15.649865
14.793739 24.684825
14.781332 27.519907
14.067316 15.482152
14.993004 21.007792
21.305368 15.109804
11.646926 22.707920
13.228066 19.124448
18.108947 8.613038
8.453788 14.921814
11.267498 14.173468
16.801908 14.495314
11.700156 18.000854
19.953143 29.219633
16.201666 16.543377
18.167750 18.746812
19.974543 20.288185
15.876343 22.038300
19.389057 15.731099
28.126989 286.755586
20.984247 269.143254
24.271831 205.146338
25.762399 190.477660
21.709974 294.312070
28.115122 171.058065
23.905178 282.255901
27.823245 310.017758
20.670408 277.913729
23.901657 245.786614
24.372438 297.168596
24.386729 229.542160
18.289511 223.203961
18.253133 293.171474
22.406049 313.548327
19.557204 268.211326
22.306678 209.796798
20.260175 229.741996
20.286235 255.676651
20.213521 219.295836
26.264147 257.810127
22.190002 241.153788
18.630256 251.816786
23.610191 260.128236
27.009575 306.519302
14.003356 261.002606
26.369193 240.474912
26.890256 249.297357
24.561931 273.633338
20.787785 248.045935
19.268319 232.401454
28.064159 240.780942
17.425577 251.525291
20.629588 272.428522
25.706419 213.461321
29.370777 317.905751
25.633017 214.242785
20.364292 222.291744
23.015086 281.412521
24.529346 223.485131
